Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
1/1/2015,5792,"15,216,843",,9191,26055797,127279,267,,11
1/2/2015,12371,"15,229,214",0,18222,26074019,127293,298,,8
1/3/2015,4834,"15,234,048",0,6282,26080301,127300,96,,7
1/4/2015,8509,"15,242,557",0,11700,26092001,127308,152,,5
1/5/2015,15792,"15,258,349",0,20022,26112023,127336,88,,12
1/6/2015,9483,"15,267,832",0,12003,26124026,127354,2,,1
1/7/2015,10685,"15,278,517",0,12791,26136817,127363,5,,1
1/8/2015,9777,"15,288,294",0,11667,26148484,127372,18,,0
1/9/2015,8631,"15,296,925",0,11093,26159577,127376,16,,2
1/10/2015,6826,"15,303,751",0,8189,26167766,127383,51,,3
1/11/2015,8204,"15,311,955",0,10199,26177965,127395,68,,8
1/12/2015,9441,"15,321,396",0,11589,26189554,127408,27,,2
1/13/2015,14134,"15,335,530",0,17429,26206983,127418,23,,10
1/14/2015,14396,"15,349,926",0,18105,26225088,127427,43,,7
1/15/2015,15463,"15,365,389",0,19803,26244891,127434,64,,8
1/16/2015,15059,"15,380,448",0,19084,26263975,127441,94,,14
1/17/2015,8243,"15,388,691",0,10818,26274793,127453,152,,3
1/18/2015,2038,"15,390,729",0,2435,26277228,127461,12,,0
1/19/2015,11913,"15,402,642",0,15733,26292961,127470,124,,11
1/20/2015,17615,"15,420,257",0,22740,26315701,127502,93,,9
1/21/2015,16734,"15,436,991",0,21228,26336929,127520,67,,16
1/22/2015,17435,"15,454,426",0,22630,26359559,127530,74,,9
1/23/2015,17080,"15,471,506",0,22248,26381807,127545,95,,14
1/24/2015,5275,"15,476,781",0,6723,26388530,127552,41,,2
1/25/2015,10235,"15,487,016",0,14421,26402951,127559,202,,4
1/26/2015,4537,"15,491,553",0,5979,26408930,127566,15,,0
1/27/2015,1405,"15,492,958",0,2343,26411273,127569,36,,1
1/28/2015,6223,"15,499,181",0,9907,26421180,127575,12,,2
1/29/2015,9845,"15,509,026",0,14171,26435351,127586,31,,3
1/30/2015,9943,"15,518,969",0,12945,26448296,127595,21,,6
1/31/2015,5752,"15,524,721",0,7328,26455624,127596,38,,2
2/1/2015,7214,"15,531,935",0,9186,26464810,127608,72,,8
2/2/2015,1686,"15,533,621",0,2635,26467445,127608,6,,0
